snr_db_target,snr_db_achieved,qc_ok,qc_reasons,n_beats_reference,n_peaks_found,abs_err_ci_lo_s,abs_err_ci_hi_s,n_beats,n_predictions,detection_rate,precision,f1,mean_abs_error_s,median_abs_error_s,bias_s,scatter_s,success_within_30ms,success_within_30ms_debiased,success_within_70ms,success_within_70ms_debiased
-30.0,-30.0,False,abp_out_of_physiologic_range,940,1687,0.0703015091863517,0.07733595800524934,940,1686,0.675531914893617,0.3766310794780546,0.4836252856054836,0.0737007874015748,0.075,-0.004461942257217848,0.08656967161871208,0.2204724409448819,0.26614173228346455,0.49921259842519683,0.47401574803149604
-28.0,-28.0,False,abp_out_of_physiologic_range,940,1688,0.07022403192046049,0.07708071690214548,940,1687,0.6776595744680851,0.3775933609958506,0.48496383707651314,0.07370486656200942,0.075,-0.004474097331240188,0.0864755464260255,0.21664050235478807,0.2621664050235479,0.49921507064364207,0.4740973312401884
-26.0,-26.0,False,abp_out_of_physiologic_range,940,1690,0.06971228615863143,0.07691809227579056,940,1689,0.6840425531914893,0.38069863824748373,0.4891593761886649,0.07319854847071021,0.06666666666666667,-0.0034473820632452043,0.08615364842337048,0.223950233281493,0.2690513219284603,0.5007776049766719,0.4774494556765163
-24.0,-24.0,False,abp_out_of_physiologic_range,940,1689,0.06927147832817337,0.07615034829721362,940,1688,0.6872340425531915,0.38270142180094785,0.4916286149162861,0.07266511867905057,0.06666666666666667,-0.004321465428276573,0.08549774153883385,0.22291021671826625,0.2678018575851393,0.5092879256965944,0.48297213622291024
-22.0,-22.0,False,abp_out_of_physiologic_range,940,1689,0.06878498972778634,0.07600186183872625,940,1688,0.6904255319148936,0.384478672985782,0.4939117199391172,0.0725346687211094,0.06666666666666667,-0.0033256291730868,0.0853703520729827,0.22342064714946072,0.22342064714946072,0.5084745762711864,0.5084745762711864
-20.0,-20.0,False,abp_out_of_physiologic_range,940,1694,0.06853787303995955,0.07535502023267576,940,1693,0.701063829787234,0.38924985233313647,0.5005696923661223,0.07185128983308042,0.06666666666666667,-0.0012139605462822458,0.08483473920850511,0.2276176024279211,0.2276176024279211,0.5159332321699545,0.5159332321699545
-18.0,-18.0,False,abp_out_of_physiologic_range,940,1694,0.06760006313131314,0.07459627525252524,940,1693,0.7021276595744681,0.38984051978735973,0.5013292821876187,0.07098484848484848,0.06666666666666667,-5.050505050505058e-05,0.08409624001059743,0.23333333333333334,0.23333333333333334,0.5257575757575758,0.5257575757575758
-16.0,-16.0,False,abp_out_of_physiologic_range,940,1703,0.06774689054726368,0.07440329601990049,940,1703,0.7127659574468085,0.3934233705226072,0.5069996216420734,0.07115671641791044,0.06666666666666667,0.0021268656716417907,0.08416091349999967,0.22835820895522388,0.22835820895522388,0.5238805970149254,0.5238805970149254
-14.0,-14.0,False,abp_out_of_physiologic_range,940,1712,0.06751025084418716,0.07371050410033768,940,1712,0.7351063829787234,0.4036214953271028,0.5211161387631976,0.07064640617462616,0.06666666666666667,0.004582730342498794,0.08347854418737088,0.23299565846599132,0.2633863965267728,0.5296671490593343,0.507959479015919
-12.0,-12.0,False,abp_out_of_physiologic_range,940,1724,0.06676133665716999,0.07355175688509022,940,1724,0.7468085106382979,0.4071925754060325,0.527027027027027,0.06993114909781575,0.06666666666666667,0.00722934472934473,0.08255493502227279,0.23646723646723647,0.24216524216524216,0.5327635327635327,0.5370370370370371
